"Daily Weather Observations for Melbourne, Victoria for April 2023"
"Prepared at 13:01 UTC on Friday 12 April 2024   IDCJDW3050.202304"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-04-1,11.3,16.4,4.6,2.4,2.4,SSE,33,09:22,13.3,74,7,SE,9,1019.5,14.6,62,7,SSW,13,1019.9
,2023-04-2,8.7,18.3,0.2,2.0,10.2,S,22,12:58,13.3,68,2,NE,6,1022.0,17.8,54,3,SSW,11,1019.4
,2023-04-3,8.8,22.6,0,3.4,8.8,SSW,19,14:58,13.3,78,1,NE,7,1020.4,20.7,63,6,SSW,11,1016.5
,2023-04-4,12.0,21.7,0,5.0,10.1,SSW,28,15:07,16.6,81,1,N,7,1019.3,20.7,73,6,SSW,11,1016.3
,2023-04-5,13.8,18.4,0,4.0,0.2,SSW,22,14:31,16.8,76,7,SSE,2,1018.8,18.0,68,7,S,9,1016.4
,2023-04-6,13.4,26.3,0,1.2,2.8,NNW,43,12:31,17.0,79,7,NE,6,1012.3,24.2,40,7,N,17,1007.4
,2023-04-7,16.1,19.9,4.4,5.2,0.2,N,41,12:40,17.9,71,7,NNW,13,999.3,18.0,62,7,NNW,17,997.3
,2023-04-8,13.7,18.0,11.2,1.4,2.1,SW,35,00:01,14.9,79,7,W,13,1006.1,15.0,76,7,SSW,15,1005.7
,2023-04-9,10.5,15.5,7.8,3.8,0.6,SSW,43,14:27,11.7,84,7,W,9,1012.5,14.1,60,7,SSW,17,1012.8
,2023-04-10,10.1,15.2,14.8,2.6,0.7,S,35,10:47,13.4,70,7,S,15,1014.5,14.9,64,7,SSW,13,1013.4
,2023-04-11,11.9,19.1,6.0,1.4,6.5,SSW,19,13:33,14.7,81,7,ESE,2,1016.0,18.8,61,7,S,9,1010.9
,2023-04-12,12.6,19.3,7.0,4.2,3.8,N,41,11:58,13.3,88,7,N,13,1004.8,18.6,64,4,N,20,1004.3
,2023-04-13,11.2,22.8,4.4,2.0,7.8,E,28,13:57,15.3,89,4,SSW,4,1015.7,22.2,52,3,E,11,1015.2
,2023-04-14,10.8,25.4,0,2.8,7.5,NNW,20,14:57,14.1,93,7,NE,9,1015.5,24.5,44,5,N,11,1010.0
,2023-04-15,13.8,21.2,0,6.0,0.6,NNW,54,09:50,20.6,51,6,N,20,1001.1,18.5,69,7,N,15,999.5
,2023-04-16,12.1,17.2,38.4,3.0,4.3,SSW,35,12:53,12.7,93,7,WSW,9,1004.3,16.4,68,5,SSW,9,1009.5
,2023-04-17,8.7,20.7,2.0,3.0,4.4,N,24,11:00,14.8,66,2,N,7,1022.7,19.6,57,7,WSW,2,1021.9
,2023-04-18,13.4,22.8,0,2.6,9.3,NNW,35,14:45,16.8,70,3,NNE,7,1023.6,22.3,48,3,NNW,17,1019.1
,2023-04-19,14.4,17.5,1.2,3.4,6.0,SW,28,11:32,14.8,66,6,WSW,9,1022.0,15.8,53,5,SSW,9,1022.1
,2023-04-20,7.8,18.5,0,4.0,4.9,SSW,17,12:47,12.4,72,2,NNE,7,1026.8,17.5,58,7,SW,4,1025.5
,2023-04-21,11.3,19.0,0,2.8,0.5,SSW,13,10:48,14.8,78,7,NE,6,1030.5,18.6,64,7,SSE,2,1029.2
,2023-04-22,14.6,19.2,0,0.0,4.8,SSW,22,16:09,15.2,84,7,SW,6,1031.9,18.8,64,2,SSW,11,1029.7
,2023-04-23,14.8,19.0,0,1.6,3.0,SSW,26,15:45,16.7,79,7,SSE,7,1034.4,17.8,71,5,SSW,13,1032.4
,2023-04-24,11.0,24.9,0,2.6,10.0,N,39,10:34,14.3,87,1,NE,9,1032.5,24.4,47,1,N,15,1028.4
,2023-04-25,12.7,25.9,0,4.0,8.8,NNW,26,10:33,16.6,73,1,NNE,7,1029.3,25.5,38,7,NNW,6,1025.4
,2023-04-26,12.0,24.6,0,4.0,8.7,N,35,10:15,16.0,72,1,NNE,9,1025.9,24.4,43,6,N,19,1021.0
,2023-04-27,16.0,22.6,0,6.0,5.2,NNW,54,13:52,19.3,51,7,NNW,24,1017.1,22.3,50,1,N,26,1012.4
,2023-04-28,16.3,21.6,1.2,6.0,4.8,N,41,02:17,18.9,59,6,NNW,15,1010.7,15.3,75,7,SSW,11,1011.0
,2023-04-29,9.0,15.9,5.2,2.0,9.0,S,20,12:44,11.5,70,2,NW,6,1014.9,15.7,55,4,SSW,9,1013.5
,2023-04-30,5.0,16.3,0.2,1.8,10.2,SSW,24,13:14,8.8,80,1,NNE,6,1018.4,15.7,53,1,SSW,11,1015.8
