"Daily Weather Observations for Melbourne, Victoria for May 2023"
"Prepared at 13:01 UTC on Thursday 11 April 2024   IDCJDW3050.202305"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-05-1,7.3,18.1,0,2.2,3.5,NNW,17,20:10,13.3,72,7,SSW,6,1016.7,17.1,54,7, ,Calm,1013.9
,2023-05-2,11.3,20.3,0,2.2,3.6,W,35,14:15,13.9,72,7,N,9,1015.4,18.4,57,6,SW,7,1012.7
,2023-05-3,11.2,15.7,3.0,4.4,4.2,W,44,06:13,13.2,61,1,NW,13,1011.4,15.2,61,4,WSW,13,1013.3
,2023-05-4,8.1,15.6,2.0,1.8,0.5,NW,19,23:58,10.7,87,7,NNE,6,1022.3,15.3,58,7,SW,2,1020.5
,2023-05-5,10.4,17.9,0,1.6,5.2,NNW,44,13:11,12.4,62,3,N,15,1017.2,16.6,52,7,NNW,20,1013.5
,2023-05-6,9.8,13.5,14.8,3.8,0.7,SSW,31,16:13,10.0,95,7, ,Calm,1020.3,12.1,64,7,SSW,11,1019.8
,2023-05-7,6.6,13.4,22.6,0.6,4.5,SSW,39,14:00,7.4,88,6,W,11,1024.4,11.2,62,4,SSW,15,1024.4
,2023-05-8,7.4,15.2,5.8,1.6,2.5,W,28,12:53,10.0,82,6,W,6,1026.4,14.7,65,7,WSW,9,1023.9
,2023-05-9,10.0,16.5,1.0,1.8,3.6,SW,33,16:20,11.3,91,7,SW,4,1027.3,15.5,68,5,S,13,1026.8
,2023-05-10,11.2,15.3,1.8,0.8,0.3,SSW,22,10:54,11.5,95,7,W,6,1030.1,13.9,76,8,S,13,1028.9
,2023-05-11,6.8,18.4,0.2,2.2,9.3,N,39,11:43,7.7,100,1,NE,9,1028.6,17.9,53,1,N,19,1024.8
,2023-05-12,7.7,18.4,0,2.8,5.2,N,24,01:22,12.0,77,7,NE,4,1029.0,16.2,64,7,S,7,1028.7
,2023-05-13,9.3,16.8,0,1.6,6.4,S,19,15:13,10.7,100,8, ,Calm,1032.8,16.4,73,1,SSW,9,1029.6
,2023-05-14,7.0,20.7,0,1.8,9.5,NNW,30,12:11,8.2,100,1,NNE,7,1029.9,20.4,46,1,NNW,15,1025.2
,2023-05-15,8.2,22.1,0,3.8,9.5,N,33,12:55,15.6,64,1,N,15,1024.4,21.3,41,1,N,19,1020.4
,2023-05-16,10.5,13.7,4.0,3.4,0.7,SSW,39,11:09,12.1,100,7,S,9,1022.1,13.5,62,7,S,15,1024.7
,2023-05-17,4.7,14.8,2.6,1.6,9.2,SE,26,11:04,8.4,81,1,NNE,6,1028.9,14.6,45,3,SE,9,1026.1
,2023-05-18,5.8,13.7,0,1.8,2.0,WSW,22,12:39,7.7,85,6,NE,2,1026.0,13.5,60,3,SSW,9,1023.3
,2023-05-19,5.8,14.6,0,2.0,3.1,S,22,13:49,11.3,81,7,N,2,1020.5,14.2,75,7,SSW,9,1017.6
,2023-05-20,8.7,15.0,2.2,0.4,2.1,NW,30,23:49,9.5,86,7,SW,7,1017.3,14.2,57,7,SW,11,1014.0
,2023-05-21,9.2,14.9,1.8,1.8,2.7,S,39,11:23,11.5,96,7,WSW,9,1019.2,13.6,60,6,S,17,1023.0
,2023-05-22,7.7,16.4,0.4,2.0,7.9,W,22,11:45,11.4,72,4,NE,4,1028.6,16.0,52,5,WSW,9,1026.6
,2023-05-23,10.2,16.8,0,2.2,7.3,N,28,10:50,11.2,71,6,N,9,1029.2,16.2,52,7,NNW,13,1025.8
,2023-05-24,9.6,15.9,0,2.4,8.0,NNW,46,14:24,10.9,72,1,N,15,1026.4,15.6,55,7,NNW,26,1021.6
,2023-05-25,10.8,15.0,0,5.2,0.3,N,52,10:43,12.6,55,7,N,22,1013.1,12.7,75,7,N,13,1010.4
,2023-05-26,7.6,14.4,2.8,0.2,4.7,W,30,12:55,10.0,70,1,NW,9,1019.1,13.2,63,7,W,11,1018.2
,2023-05-27,9.8,15.8,0.6,2.4,2.5,N,31,11:58,11.5,68,7,N,13,1018.2,14.6,46,7,WNW,11,1015.7
,2023-05-28,10.9,16.5,6.8,2.8,1.5,NNE,30,00:36,11.4,92,7,N,15,1011.5,13.7,80,7,SSW,7,1010.4
,2023-05-29,10.0,17.0,5.4,1.0,5.7,WSW,33,11:31,12.8,72,4,NNW,13,1016.5,16.4,62,7,NW,9,1016.6
,2023-05-30,12.7,18.7,0,4.0,2.8,NNW,31,14:29,14.0,76,7,N,11,1021.6,17.8,64,6,N,20,1018.9
,2023-05-31,14.0,17.7,0,2.6,0.4,N,44,17:10,16.4,66,7,NNW,20,1016.3,17.4,63,7,NNW,17,1012.8
