"Daily Weather Observations for Melbourne, Victoria for October 2023"
"Prepared at 13:01 UTC on Saturday 20 April 2024   IDCJDW3050.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,19.0,20.5,0,14.6,10.6,WSW,48,07:52,19.7,53,2,SW,20,1007.0,18.7,44,4,S,17,1013.2
,2023-10-2,7.4,28.5,0,7.0,11.4,NNW,41,13:17,10.3,77,1,NNE,11,1017.4,25.8,27,2,NNW,19,1010.1
,2023-10-3,10.3,19.2,3.0,11.0,0.0,N,48,02:58,19.0,81,7,N,17,1007.7,16.4,94,8,WSW,7,1008.8
,2023-10-4,10.5,13.5,22.8,2.4,0.1,S,37,22:44,11.3,100,8,S,9,1011.2,12.7,77,7,S,15,1010.1
,2023-10-5,8.8,16.5,6.8,2.0,2.7,SSW,39,22:15,11.3,63,4,W,11,1017.7,16.0,54,7,WNW,11,1017.4
,2023-10-6,10.0,15.2,7.2,3.4,8.7,SSE,37,15:44,11.7,64,6,SSW,15,1030.3,14.2,55,4,SSW,17,1031.4
,2023-10-7,7.7,14.3,0.4,3.8,1.6,SSE,30,15:06,11.6,61,7,SSE,2,1034.4,13.5,57,7,SSW,13,1032.9
,2023-10-8,5.8,15.8,0,2.2,1.6,S,26,14:06,11.7,71,1, ,Calm,1032.6,15.0,54,1,SSW,17,1030.1
,2023-10-9,8.9,15.8,0,5.4,6.4,SSW,30,12:40,12.1,69,7,NNE,6,1028.4,15.4,54,2,S,13,1026.5
,2023-10-10,11.0,16.5,0,3.8,7.5,SW,28,14:17,11.7,80,7,SSW,4,1026.0,15.7,60,1,SSW,13,1023.9
,2023-10-11,6.9,26.2,0,4.6,11.5,N,43,16:06,11.8,77,0,NE,11,1021.8,25.6,37,3,NNW,24,1018.3
,2023-10-12,11.8,16.1,1.2,9.8,2.3,N,46,04:02,14.5,87,8,SW,9,1013.7,15.5,57,6,SW,13,1013.7
,2023-10-13,10.6,17.5,13.4,4.0,0.5,WNW,37,12:44,13.2,73,7,W,6,1020.0,16.9,70,7,WSW,11,1018.8
,2023-10-14,11.6,19.6,2.2,1.4,3.5,WNW,41,09:46,14.1,63,7,WNW,15,1018.0,18.3,50,7,W,13,1016.8
,2023-10-15,11.5,17.2,0,4.6,1.5,NW,30,09:17,12.7,71,7,NNW,11,1017.8,16.2,52,7,S,11,1014.8
,2023-10-16,10.1,14.7,5.0,3.4,9.7,SSW,50,16:11,10.9,71,7,SW,13,1016.3,14.2,54,6,SSW,26,1021.3
,2023-10-17,10.3,16.1,0.8,5.8,9.6,SSW,31,16:07,12.7,62,7,SE,9,1031.7,15.7,59,2,SSW,13,1030.7
,2023-10-18,7.9,24.2,0.2,4.0,12.2,N,35,10:08,12.8,75,0,N,11,1029.8,23.2,37,1,NNW,15,1025.4
,2023-10-19,11.2,27.1,0,3.8,11.6,NNE,24,11:08,16.4,67,1,NE,9,1022.7,25.8,34,2,N,6,1018.6
,2023-10-20,14.3,29.5,0,7.8,10.6,N,30,16:11,18.8,60,1,NE,9,1017.3,28.3,29,5,NNE,13,1013.8
,2023-10-21,18.8,22.1,0,11.4,2.6,SW,44,17:37,20.0,53,7,SW,20,1008.8,19.7,52,7,SSW,15,1007.0
,2023-10-22,11.6,15.5,0.2,5.6,0.7,NW,48,09:26,14.0,68,7,NW,13,1009.2,15.2,66,7,W,15,1010.7
,2023-10-23,10.6,18.1,2.4,4.0,3.2,WSW,33,02:09,12.3,68,7,WSW,11,1016.7,15.7,64,7,SSW,13,1015.8
,2023-10-24,12.3,25.3,0,3.8,7.8,N,57,07:38,17.6,49,7,N,28,1006.9,24.8,29,7,NNW,20,1006.2
,2023-10-25,8.9,13.4,0,9.8,8.8,WSW,41,11:00,11.1,56,2,W,11,1017.3,9.9,74,4,WSW,11,1020.3
,2023-10-26,7.3,15.1,8.2,4.0,7.5,S,43,08:26,10.5,82,7,SSW,7,1029.4,14.1,58,7,S,20,1030.5
,2023-10-27,8.3,19.4,0.4,4.8,12.4,SSW,30,13:10,13.8,59,1,SE,9,1033.6,18.4,50,1,SW,9,1030.1
,2023-10-28,9.5,23.3,0,7.4,7.1,N,57,07:02,15.4,52,6,N,22,1026.0,20.3,43,7,N,24,1020.7
,2023-10-29,9.1,21.3,0,7.4,11.2,SSW,30,17:06,13.9,77,3,SSW,4,1016.0,19.2,50,3,SSW,11,1010.6
,2023-10-30,12.4,23.2,0,6.4,8.0,N,46,13:21,16.5,53,2,W,7,1007.7,21.5,35,5,NW,26,1003.9
,2023-10-31,9.1,16.0,1.8,7.0,7.9,WSW,39,23:32,12.0,58,1,W,9,1017.3,14.8,57,7,S,17,1019.7
