"Daily Weather Observations for Melbourne, Victoria for November 2023"
"Prepared at 13:01 UTC on Friday 19 April 2024   IDCJDW3050.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,11.2,16.0,0,5.2,2.1,S,30,12:35,13.2,65,5,SW,9,1024.8,15.3,63,8,S,13,1024.8
,2023-11-2,12.1,16.7,0,6.2,4.9,S,33,15:14,13.0,62,8,SSE,4,1024.6,15.1,59,5,S,13,1022.9
,2023-11-3,12.1,15.9,0,4.8,4.0,SW,31,15:17,13.0,67,8,SSE,9,1023.5,15.1,60,4,SSW,13,1022.5
,2023-11-4,11.2,20.9,0,4.8,8.4,SE,39,20:28,13.1,65,8,SSE,13,1024.6,17.0,72,2,SSW,17,1022.8
,2023-11-5,9.3,23.9,0,6.2,11.9,SSE,30,17:27,14.6,72,2,WNW,6,1026.3,20.6,55,1,SSW,13,1023.0
,2023-11-6,12.6,29.8,0,8.0,10.8,NNW,33,11:50,19.1,58,5,N,9,1022.0,29.1,32,7,NNW,20,1017.1
,2023-11-7,15.5,30.6,0,11.0,10.3,N,43,10:47,22.6,54,1,SE,6,1016.6,29.9,31,2,N,24,1012.5
,2023-11-8,16.3,30.8,0.6,11.0,9.5,N,39,12:34,23.7,47,1,NNE,13,1014.0,18.8,77,5,SSW,17,1011.6
,2023-11-9,15.0,23.2,8.8,6.4,6.6,SSW,31,17:29,15.8,80,7,SSE,2,1015.8,19.1,69,1,SW,13,1013.0
,2023-11-10,13.7,33.1,0,4.6,12.8,N,35,13:33,20.5,70,2,NE,6,1014.0,30.0,35,4,SSW,7,1010.5
,2023-11-11,18.7,19.1,0,16.0,9.1,N,48,03:31,18.9,72,6,S,19,1013.6,17.6,60,5,S,17,1018.1
,2023-11-12,12.1,18.2,0,7.6,10.9,S,39,17:27,13.8,58,2,WSW,9,1020.2,16.8,57,6,S,15,1020.7
,2023-11-13,11.8,20.6,0.4,8.2,10.1,SSW,31,16:56,14.2,64,6,SSW,11,1022.2,18.1,47,0,SSW,9,1018.3
,2023-11-14,12.7,16.8,0.6,6.8,0.9,SSW,24,00:30,12.8,80,8,WSW,7,1017.6,15.9,65,7,S,13,1016.8
,2023-11-15,12.7,18.2,0.2,3.8,8.1,S,28,15:11,14.5,66,7,E,6,1015.7,17.6,53,2,SSW,13,1014.3
,2023-11-16,12.3,17.4,0.6,6.2,3.3,SSW,43,16:59,13.6,78,7,SSW,11,1014.9,15.7,60,7,S,19,1015.5
,2023-11-17,12.4,17.8,0,5.4,6.8,SSW,31,11:15,13.9,54,6,S,13,1021.6,16.8,50,6,S,15,1021.5
,2023-11-18,13.8,18.8,0,5.2,10.7,S,31,14:46,14.9,61,7,S,6,1021.6,18.2,60,1,S,13,1019.4
,2023-11-19,11.5,21.6,0,5.4,9.4,SSW,30,13:59,14.6,78,2, ,Calm,1019.2,20.6,56,4,S,17,1017.4
,2023-11-20,14.4,19.3,0,8.0,3.5,SSW,31,12:40,15.7,72,7,SSE,7,1021.0,18.5,66,8,SSW,17,1019.5
,2023-11-21,15.1,19.0,0,2.8,4.7,SSW,35,16:05,16.4,77,8,SSW,7,1021.0,18.5,68,6,S,15,1020.4
,2023-11-22,13.8,18.6,0,4.4,10.4,SSW,39,14:09,16.9,64,7,S,11,1026.0,17.5,65,1,SSW,20,1024.2
,2023-11-23,15.2,26.5,0,7.0,7.0,SE,30,17:54,16.9,73,7,ESE,9,1025.2,22.1,65,7,SSW,11,1021.8
,2023-11-24,16.9,28.7,0,6.6,2.5,N,33,10:36,22.1,68,4,NNE,2,1017.8,24.6,51,7,N,17,1014.3
,2023-11-25,17.2,26.5,8.8,5.6,7.4,NNW,44,16:26,22.7,72,4,N,17,1010.0,24.2,43,6,N,17,1007.1
,2023-11-26,15.1,19.8,3.8,7.4,1.9,S,30,18:26,15.3,100,7,SW,9,1012.2,19.1,73,7,SSW,11,1012.6
,2023-11-27,13.7,18.5,7.2,2.0,0.5,S,30,12:08,14.1,100,8,SSW,9,1015.7,17.4,69,7,SSW,13,1014.7
,2023-11-28,13.8,23.2,1.8,2.2,3.9,E,37,17:16,14.4,98,8,NW,2,1013.4,22.3,64,5,SSW,7,1009.9
,2023-11-29,14.4,19.1,2.8,3.8,0.0,SE,57,15:23,16.8,96,8,SE,20,1007.0,17.7,87,8,SE,20,1006.4
,2023-11-30,14.4,18.8,6.8,2.8,0.0,SE,43,10:25,16.5,76,8,SSE,15,1012.0,17.8,67,8,SSE,15,1011.6
