"Daily Weather Observations for Melbourne, Victoria for March 2024"
"Prepared at 16:01 UTC on Thursday  2 May 2024   IDCJDW3050.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,14.4,28.1,0,5.2,11.0,SSW,37,16:13,18.0,72,3,NE,2,1015.1,26.5,49,3,SSW,9,1011.7
,2024-03-2,15.9,20.7,0,5.6,8.1,S,35,13:08,18.7,67,3,S,11,1017.1,19.4,50,7,S,19,1018.6
,2024-03-3,12.8,20.9,0,6.2,4.5,SSE,39,14:46,15.8,58,7,WSW,11,1018.8,20.6,52,7,S,15,1019.4
,2024-03-4,13.2,20.7,0,5.8,10.8,SSW,35,14:50,15.4,54,7,SE,9,1024.8,19.5,51,1,S,19,1023.1
,2024-03-5,11.8,32.1,0,6.2,11.3,N,31,09:40,14.3,78,1,NE,9,1019.5,30.2,26,1,N,13,1016.0
,2024-03-6,14.3,25.1,0,10.0,8.1,S,33,15:01,19.1,56,5, ,Calm,1016.9,23.8,54,4,SSW,17,1016.5
,2024-03-7,16.9,21.9,0,6.4,9.8,SSW,35,15:48,17.9,64,7,SE,13,1025.1,21.2,54,3,SSW,15,1024.0
,2024-03-8,14.2,26.0,0,5.4,9.8,SSW,26,15:08,17.7,75,7,N,6,1023.3,23.6,58,1,SSW,13,1020.2
,2024-03-9,16.9,37.6,0,6.6,11.4,N,57,09:15,21.2,73,0,NNE,6,1019.0,35.9,29,3,N,24,1016.5
,2024-03-10,21.2,36.9,0,18.0,11.1,N,39,09:01,28.4,35,1,N,19,1022.6,36.2,26,2,NNW,19,1021.0
,2024-03-11,20.5,35.1,0,14.0,9.2,NNW,44,14:46,23.6,55,7,NNE,9,1022.1,33.6,27,6,N,22,1018.2
,2024-03-12,22.8,23.1,0,16.0,0.3,SSW,35,10:35,22.9,71,7,SSW,15,1017.3,20.4,74,8,SSW,11,1019.2
,2024-03-13,17.2,19.9,1.2,2.2,0.1,SE,22,23:35,17.3,84,7,ENE,4,1018.5,19.1,74,7,SSE,9,1015.8
,2024-03-14,16.4,22.7,0.4,1.0,5.6,SSW,39,13:23,18.3,77,8,SSE,9,1015.5,20.7,71,6,SSW,17,1016.0
,2024-03-15,15.7,27.8,0,4.0,10.0,SSE,30,17:29,18.5,76,3,E,2,1020.3,26.9,41,1,SSW,6,1017.9
,2024-03-16,14.4,29.6,0,6.0,10.9,S,26,14:54,17.1,77,0,NNE,7,1020.7,29.0,30,1,ENE,9,1015.8
,2024-03-17,17.1,30.2,0,8.8,10.6,SSE,33,17:16,20.6,60,5,N,11,1015.2,27.4,39,4,S,11,1011.8
,2024-03-18,16.3,31.9,0,7.6,11.0,NNW,26,10:33,19.9,64,1,ENE,6,1014.4,29.5,33,4,NE,9,1011.1
,2024-03-19,19.7,28.6,0,11.0,5.7,NNW,69,10:16,25.5,53,5,NNE,11,1009.0,26.9,56,7,NNW,22,1007.8
,2024-03-20,13.2,18.4,0.2,7.4,10.4,S,48,14:38,14.3,57,1,W,13,1022.7,17.3,43,4,S,19,1026.1
,2024-03-21,9.4,20.5,0.2,6.4,10.8,SSE,30,09:56,13.5,61,1, ,Calm,1030.7,19.7,43,0,SSW,15,1026.9
,2024-03-22,9.7,20.8,0,5.0,10.9,S,33,13:12,12.8,73,1,NE,7,1025.4,19.9,53,1,S,17,1022.9
,2024-03-23,11.9,19.8,0,6.0,6.8,S,33,12:13,14.1,82,6, ,Calm,1026.4,19.3,56,6,S,15,1024.7
,2024-03-24,12.2,22.3,0,3.6,7.8,SSW,22,15:52,14.6,59,7,WNW,6,1024.0,21.2,44,1,S,9,1021.2
,2024-03-25,14.3,22.6,0,4.6,10.9,S,26,12:42,15.4,67,1,NNW,13,1021.2,21.1,53,1,SSW,11,1018.7
,2024-03-26,13.1,21.8,0,5.0,8.5,SSW,24,11:48,14.8,76,7,W,2,1023.0,20.8,49,1,SSW,9,1021.8
,2024-03-27,14.8,20.5,0.6,3.4,3.4,S,31,14:24,15.9,82,4,WSW,6,1025.9,20.2,59,7,S,13,1025.8
,2024-03-28,15.7,20.4,0.2,5.0,7.3,SSW,28,12:39,16.4,58,7,SE,7,1027.0,19.2,56,2,SSW,15,1025.7
,2024-03-29,10.6,28.0,0,4.0,10.6,N,31,11:57,12.9,83,0,NNE,6,1025.6,25.9,42,1,SW,7,1022.1
,2024-03-30,12.9,22.4,0,6.2,9.9,SSW,24,13:03,15.0,91,7,NNE,7,1026.4,21.6,58,1,SSW,13,1024.9
,2024-03-31,13.5,20.9,0,4.0,7.7,SSW,20,15:12,14.9,95,7,SE,4,1023.9,19.4,70,0,SW,7,1020.1
